0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.26536477,0.27898377,0.26332748,0.25316492,0.26183736,0.26268217,0.24198315,0.26391962,0.26971224,0.27037996,0.26528597,0.26839268,0.25855276,0.22923157,0.27852586,0.25512096
0.1870802,0.20131466,0.2276183,0.19788823,0.22332543,0.20029144,0.20108084,0.1965586,0.19532488,0.22697756,0.22292899,0.1726188,0.19158156,0.15753466,0.21797717,0.18815911
0.086180545,0.11837895,0.09586351,0.11118704,0.10026399,0.086093694,0.0929195,0.0885567,0.14727864,0.0928447,0.08792241,0.09109459,0.12654646,0.10534394,0.08755434,0.10931432
0.28482136,0.28599465,0.28278762,0.2614709,0.27099812,0.2576645,0.261993,0.2630162,0.25606146,0.2908828,0.26673087,0.2693192,0.28271687,0.24347325,0.30367905,0.2735138
0.17257087,0.16957912,0.17912345,0.21876933,0.2117024,0.18888944,0.16096465,0.172885,0.15865688,0.18232664,0.17505684,0.1800164,0.19681574,0.14395426,0.18996906,0.15480359
0.22255148,0.2078751,0.20676908,0.23289092,0.24886237,0.19754505,0.19962078,0.21466427,0.1612347,0.199178,0.1892211,0.22794917,0.22162078,0.1599015,0.21429445,0.17481567
0.3032912,0.3466413,0.31770158,0.33247748,0.33481276,0.30877206,0.28186116,0.2915564,0.2997774,0.26711127,0.33958727,0.3182471,0.32131526,0.35440657,0.34268805,0.31394705
0.2612159,0.26989412,0.25640193,0.26557818,0.25943694,0.23848362,0.23420916,0.2445989,0.25093305,0.25846106,0.24598059,0.2582665,0.25075653,0.23463441,0.27249354,0.23800665
0.24530202,0.2673799,0.25511226,0.25750852,0.2646615,0.2490381,0.2438136,0.2336545,0.24702512,0.2579547,0.2575153,0.2466376,0.26072153,0.22973356,0.27250946,0.25215995
0.27267945,0.29513082,0.2824777,0.28098866,0.29299283,0.28933713,0.26661322,0.26993668,0.26203305,0.287188,0.27104965,0.2811099,0.28995702,0.25655666,0.28387222,0.27083245
0.22772823,0.27087262,0.2437297,0.241168,0.2523238,0.21699877,0.24094482,0.20779677,0.23623438,0.23739937,0.22797002,0.26474303,0.24947709,0.20907947,0.26189893,0.25736266
